task_id,title,description,status,created_at
1,Task 1,Description for task 1,Open,2025-01-01
2,Task 2,Description for task 2,In Progress,2025-01-02
3,Task 3,Description for task 3,Completed,2025-01-03
4,Task 4,Description for task 4,Open,2025-01-04
5,Task 5,Description for task 5,In Progress,2025-01-05
6,Task 6,Description for task 6,Completed,2025-01-06
7,Task 7,Description for task 7,Open,2025-01-07
8,Task 8,Description for task 8,Open,2025-01-08
9,Task 9,Description for task 9,In Progress,2025-01-09
10,Task 10,Description for task 10,Completed,2025-01-10
